# RaceRender Data: TrackAddict 2.6.3 on iOS 8.0 [iPhone5,2] (Mode:0, Device_Orientation:4)
# End Point: 46.420105, -94.276219  @ -1.00 deg
"Time","Lap","GPS_Update","GPS_Delay","Accuracy (m)","Latitude","Longitude","Altitude (m)","Speed (MPH)","Heading","X","Y","Z"
0.023,0,0,0.000,8570.1,46.4381714,-94.2940799,371,-2.2,-1.0,-0.07,-0.11,-0.42
0.076,0,0,0.000,8570.1,46.4381714,-94.2940799,371,-2.2,-1.0,-0.26,-0.11,0.15
0.116,0,0,0.000,8570.1,46.4381714,-94.2940799,371,-2.2,-1.0,-0.20,-0.13,0.03
0.179,0,0,0.000,8570.1,46.4381714,-94.2940799,371,-2.2,-1.0,-0.12,-0.13,-0.12
0.215,0,0,0.000,8570.1,46.4381714,-94.2940799,371,-2.2,-1.0,-0.16,-0.13,-0.00
0.273,0,0,0.000,8570.1,46.4381714,-94.2940799,371,-2.2,-1.0,-0.17,-0.13,-0.11
0.313,0,0,0.000,8570.1,46.4381714,-94.2940799,371,-2.2,-1.0,-0.18,-0.16,-0.01
0.378,0,0,0.000,8570.1,46.4381714,-94.2940799,371,-2.2,-1.0,-0.14,-0.14,-0.10
0.421,0,0,0.000,8570.1,46.4381714,-94.2940799,371,-2.2,-1.0,-0.17,-0.15,0.00
0.471,0,0,0.000,8570.1,46.4381714,-94.2940799,371,-2.2,-1.0,-0.06,-0.12,-0.35
0.511,0,0,0.000,8570.1,46.4381714,-94.2940799,371,-2.2,-1.0,-0.14,-0.13,-0.18
0.569,0,0,0.000,8570.1,46.4381714,-94.2940799,371,-2.2,-1.0,-0.16,-0.16,-0.02
0.609,0,0,0.000,8570.1,46.4381714,-94.2940799,371,-2.2,-1.0,-0.23,-0.20,0.25
0.668,0,0,0.000,8570.1,46.4381714,-94.2940799,371,-2.2,-1.0,-0.12,-0.14,-0.18
0.708,0,0,0.000,8570.1,46.4381714,-94.2940799,371,-2.2,-1.0,-0.23,-0.20,0.22
0.741,0,1,0.000,30.0,46.4207038,-94.2767803,375,2.1,-1.0,-0.25,-0.19,0.27
0.786,0,0,0.000,30.0,46.4207038,-94.2767803,375,2.1,-1.0,-0.23,-0.18,0.18
0.852,0,0,0.000,30.0,46.4207038,-94.2767803,375,2.1,-1.0,-0.16,-0.14,-0.08
0.885,0,0,0.000,30.0,46.4207038,-94.2767803,375,2.1,-1.0,-0.11,-0.13,-0.25
0.924,0,0,0.000,30.0,46.4207038,-94.2767803,375,2.1,-1.0,-0.22,-0.21,0.18
0.984,0,0,0.000,30.0,46.4207038,-94.2767803,375,2.1,-1.0,-0.20,-0.22,0.15
1.022,0,0,0.000,30.0,46.4207038,-94.2767803,375,2.1,-1.0,-0.15,-0.15,-0.10
1.081,0,0,0.000,30.0,46.4207038,-94.2767803,375,2.1,-1.0,-0.14,-0.15,-0.12
1.121,0,0,0.000,30.0,46.4207038,-94.2767803,375,2.1,-1.0,-0.17,-0.16,-0.01
1.180,0,0,0.000,30.0,46.4207038,-94.2767803,375,2.1,-1.0,-0.14,-0.14,-0.13
1.221,0,0,0.000,30.0,46.4207038,-94.2767803,375,2.1,-1.0,-0.14,-0.14,-0.15
1.279,0,0,0.000,30.0,46.4207038,-94.2767803,375,2.1,-1.0,-0.14,-0.16,-0.13
1.318,0,0,0.000,30.0,46.4207038,-94.2767803,375,2.1,-1.0,-0.20,-0.18,0.11
1.377,0,0,0.000,30.0,46.4207038,-94.2767803,375,2.1,-1.0,-0.14,-0.16,-0.08
1.423,0,0,0.000,30.0,46.4207038,-94.2767803,375,2.1,-1.0,-0.23,-0.19,0.13
1.476,0,0,0.000,30.0,46.4207038,-94.2767803,375,2.1,-1.0,-0.17,-0.18,0.03
1.516,0,0,0.000,30.0,46.4207038,-94.2767803,375,2.1,-1.0,-0.14,-0.16,-0.09
1.574,0,0,0.000,30.0,46.4207038,-94.2767803,375,2.1,-1.0,-0.16,-0.16,0.01
1.616,0,0,0.000,30.0,46.4207038,-94.2767803,375,2.1,-1.0,-0.20,-0.20,0.12
1.672,0,0,0.000,30.0,46.4207038,-94.2767803,375,2.1,-1.0,-0.16,-0.18,0.01
